iter	Passed	Remaining
0	15	38417
1	29	36765
2	45	38127
3	59	37001
4	72	36320
5	88	36728
6	103	36691
7	116	36392
8	131	36500
9	148	37068
10	167	37871
11	183	38041
12	201	38517
13	219	38956
14	235	39085
15	251	39072
16	269	39291
17	286	39564
18	302	39549
19	318	39542
20	339	40053
21	355	39996
22	370	39905
23	385	39724
24	400	39619
25	412	39217
26	427	39198
27	455	40222
28	467	39863
29	479	39442
30	495	39472
31	511	39477
32	529	39558
33	545	39549
34	565	39848
35	583	39930
36	600	39948
37	611	39614
38	624	39379
39	640	39393
40	659	39544
41	676	39587
42	691	39520
43	703	39285
44	717	39163
45	731	39048
46	749	39092
47	761	38924
48	778	38921
49	794	38910
50	810	38926
51	826	38900
52	842	38916
53	864	39180
54	880	39128
55	897	39147
56	914	39180
57	932	39244
58	949	39287
59	965	39257
60	980	39189
61	996	39202
62	1008	39005
63	1032	39290
64	1054	39497
65	1073	39574
66	1087	39478
67	1102	39440
68	1119	39436
69	1132	39311
70	1144	39141
71	1160	39125
72	1178	39174
73	1202	39427
74	1218	39386
75	1229	39200
76	1247	39246
77	1260	39138
78	1273	39037
79	1282	38807
80	1296	38724
81	1312	38694
82	1328	38674
83	1343	38646
84	1358	38604
85	1369	38430
86	1383	38374
87	1398	38333
88	1413	38294
89	1428	38261
90	1443	38208
91	1459	38190
92	1475	38184
93	1490	38157
94	1501	38020
95	1517	38001
96	1531	37935
97	1547	37934
98	1563	37916
99	1579	37899
100	1594	37869
101	1611	37874
102	1628	37901
103	1647	37964
104	1664	37959
105	1676	37869
106	1692	37844
107	1708	37846
108	1723	37815
109	1739	37791
110	1756	37804
111	1773	37819
112	1789	37799
113	1805	37792
114	1822	37787
115	1838	37794
116	1855	37783
117	1872	37799
118	1886	37739
119	1901	37719
120	1916	37688
121	1929	37612
122	1945	37597
123	1962	37607
124	1980	37626
125	1998	37660
126	2017	37697
127	2031	37655
128	2046	37613
129	2062	37596
130	2076	37557
131	2093	37557
132	2110	37568
133	2128	37577
134	2145	37580
135	2162	37594
136	2180	37609
137	2198	37622
138	2216	37651
139	2233	37654
140	2249	37627
141	2264	37606
142	2280	37595
143	2296	37575
144	2312	37564
145	2329	37554
146	2344	37534
147	2361	37523
148	2377	37519
149	2393	37501
150	2411	37517
151	2429	37536
152	2446	37530
153	2463	37526
154	2480	37530
155	2497	37526
156	2513	37512
157	2529	37491
158	2545	37480
159	2561	37467
160	2581	37505
161	2598	37508
162	2615	37499
163	2631	37484
164	2647	37471
165	2664	37465
166	2681	37462
167	2698	37455
168	2714	37444
169	2732	37449
170	2749	37447
171	2766	37441
172	2782	37420
173	2798	37405
174	2814	37395
175	2830	37376
176	2845	37343
177	2861	37324
178	2878	37318
179	2896	37328
180	2912	37319
181	2931	37335
182	2949	37341
183	2964	37318
184	2980	37300
185	2997	37296
186	3013	37275
187	3028	37245
188	3044	37231
189	3061	37220
190	3070	37116
191	3085	37091
192	3105	37126
193	3122	37114
194	3138	37096
195	3155	37099
196	3171	37076
197	3187	37056
198	3203	37042
199	3215	36973
200	3231	36959
201	3247	36939
202	3263	36925
203	3278	36900
204	3295	36888
205	3313	36896
206	3329	36880
207	3347	36886
208	3359	36826
209	3375	36810
210	3393	36813
211	3410	36806
212	3426	36788
213	3445	36804
214	3465	36831
215	3482	36824
216	3500	36826
217	3517	36820
218	3534	36810
