iter	Passed	Remaining
0	167	334306
1	175	175078
2	182	121432
3	188	94116
4	194	77574
5	198	66084
6	203	57948
7	207	51785
8	213	47230
9	217	43321
10	222	40181
11	226	37588
12	231	35310
13	235	33412
14	239	31723
15	243	30214
16	247	28901
17	251	27731
18	255	26683
19	260	25761
20	264	24941
21	269	24191
22	273	23476
23	277	22809
24	281	22239
25	285	21678
26	289	21160
27	293	20671
28	297	20217
29	301	19813
30	305	19423
31	309	19057
32	314	18724
33	318	18411
34	322	18107
35	326	17815
36	330	17554
37	334	17294
38	338	17038
39	342	16804
40	346	16576
41	350	16360
42	354	16149
43	359	15985
44	364	15826
45	368	15652
46	373	15511
47	377	15346
48	381	15184
49	385	15039
50	390	14911
51	394	14786
52	398	14656
53	403	14542
54	407	14415
55	412	14306
56	416	14194
57	421	14099
58	427	14048
59	432	13988
60	438	13944
61	443	13872
62	449	13814
63	455	13765
64	460	13693
65	464	13619
66	470	13564
67	475	13497
68	481	13469
69	486	13425
70	493	13414
71	499	13371
72	505	13338
73	510	13290
74	515	13232
75	520	13178
76	524	13108
77	528	13030
78	533	12961
79	536	12887
80	541	12818
81	545	12748
82	548	12678
83	553	12623
84	557	12568
85	562	12512
86	566	12457
87	571	12406
88	576	12373
89	581	12348
90	586	12306
91	591	12258
92	595	12218
93	601	12195
94	605	12144
95	609	12095
96	614	12047
97	618	11995
98	622	11954
99	626	11905
100	630	11860
101	634	11815
102	639	11771
103	643	11732
104	648	11702
105	652	11660
106	657	11625
107	661	11585
108	665	11543
109	670	11514
110	674	11474
111	678	11439
112	682	11404
113	687	11370
114	691	11339
115	696	11310
116	700	11276
117	704	11242
118	709	11220
119	713	11182
120	718	11154
121	722	11122
122	726	11093
123	731	11066
124	735	11039
125	740	11007
126	744	10983
127	748	10953
128	752	10921
129	757	10897
130	761	10865
131	765	10834
132	770	10816
133	774	10787
134	778	10759
135	783	10732
136	787	10703
137	791	10681
138	795	10653
139	800	10632
140	804	10609
141	808	10581
142	813	10557
143	817	10538
144	821	10512
145	825	10489
146	830	10466
147	834	10441
148	839	10424
149	843	10401
150	847	10375
151	851	10352
152	855	10327
153	860	10310
154	864	10289
155	868	10264
156	872	10244
157	876	10222
158	880	10199
159	885	10180
160	889	10159
161	894	10143
162	898	10123
163	902	10101
164	907	10094
165	911	10075
166	915	10051
167	920	10035
168	924	10016
169	928	9995
170	932	9976
171	936	9954
172	940	9937
173	945	9917
174	948	9896
175	953	9880
176	957	9859
177	961	9843
178	965	9826
179	970	9810
180	974	9794
181	978	9776
182	982	9758
183	987	9744
184	991	9725
185	995	9711
186	1000	9698
187	1004	9680
188	1008	9665
189	1012	9649
190	1017	9632
191	1021	9618
192	1025	9605
193	1030	9591
194	1034	9579
195	1038	9562
196	1043	9548
197	1047	9533
198	1051	9515
199	1056	9504
200	1060	9488
201	1064	9471
202	1068	9459
203	1072	9445
204	1077	9433
205	1082	9426
206	1087	9417
207	1092	9408
208	1096	9400
209	1101	9389
210	1106	9379
211	1111	9371
212	1115	9361
213	1120	9350
214	1125	9340
215	1130	9333
216	1134	9318
217	1138	9304
218	1142	9291
219	1146	9275
220	1150	9263
221	1155	9251
222	1159	9236
223	1163	9227
224	1167	9213
225	1171	9199
226	1176	9187
227	1180	9178
228	1185	9169
229	1190	9162
230	1195	9153
231	1199	9141
232	1203	9126
233	1208	9118
234	1212	9104
235	1216	9091
236	1220	9080
237	1224	9066
238	1229	9055
239	1233	9043
240	1237	9033
241	1242	9025
242	1246	9014
243	1250	9000
244	1254	8988
245	1258	8974
246	1263	8964
247	1267	8952
248	1271	8940
249	1275	8929
250	1279	8917
251	1284	8909
252	1288	8900
253	1293	8890
254	1297	8879
255	1302	8870
256	1305	8856
257	1310	8848
258	1314	8838
259	1318	8825
260	1323	8815
261	1327	8803
262	1331	8793
263	1335	8782
264	1339	8770
265	1344	8761
266	1348	8752
267	1352	8741
268	1356	8731
269	1361	8721
270	1365	8710
271	1369	8699
272	1373	8688
273	1377	8678
274	1381	8668
275	1385	8656
276	1390	8648
277	1394	8639
278	1398	8628
279	1403	8618
280	1406	8607
281	1411	8599
282	1415	8588
283	1419	8577
284	1423	8568
285	1427	8556
286	1432	8548
287	1436	8538
288	1440	8527
289	1444	8518
290	1448	8509
291	1453	8499
292	1457	8490
293	1461	8480
294	1466	8473
295	1470	8466
296	1475	8458
297	1479	8451
298	1484	8443
299	1488	8435
300	1493	8427
301	1497	8418
302	1501	8407
303	1505	8399
304	1509	8389
305	1513	8380
306	1518	8371
307	1521	8360
308	1526	8352
309	1530	8343
310	1534	8333
311	1538	8324
312	1542	8313
313	1546	8306
314	1551	8298
315	1555	8288
316	1560	8287
317	1565	8280
318	1569	8271
319	1574	8263
320	1578	8254
321	1582	8244
322	1586	8238
323	1590	8228
324	1595	8220
325	1599	8213
326	1603	8203
327	1607	8196
328	1612	8187
329	1616	8178
330	1620	8170
331	1624	8162
332	1628	8153
333	1633	8145
334	1637	8136
335	1641	8128
336	1645	8120
337	1649	8112
338	1654	8104
339	1657	8094
340	1662	8087
341	1666	8080
342	1670	8071
343	1675	8063
344	1679	8054
345	1683	8047
346	1687	8040
347	1691	8031
348	1696	8026
349	1700	8018
350	1704	8010
351	1709	8002
352	1713	7993
353	1717	7985
354	1721	7977
355	1725	7968
356	1729	7961
357	1733	7952
358	1737	7943
359	1742	7937
360	1746	7929
361	1750	7921
362	1755	7915
363	1759	7906
364	1763	7899
365	1767	7891
366	1772	7885
367	1776	7880
368	1781	7873
369	1785	7865
370	1789	7859
371	1794	7852
372	1801	7857
373	1805	7849
374	1809	7841
375	1813	7833
376	1818	7826
377	1822	7818
378	1826	7810
379	1830	7803
380	1834	7794
381	1838	7787
382	1843	7781
383	1847	7773
384	1851	7766
385	1855	7758
386	1859	7751
387	1864	7745
388	1868	7737
389	1872	7730
390	1876	7723
391	1880	7715
392	1885	7709
393	1889	7702
394	1893	7695
395	1898	7689
396	1902	7682
397	1906	7674
398	1911	7668
399	1915	7660
400	1919	7653
401	1923	7647
402	1927	7639
403	1932	7632
404	1936	7625
405	1940	7618
406	1944	7611
407	1948	7603
408	1953	7598
409	1957	7592
410	1961	7584
411	1966	7578
412	1970	7571
413	1974	7563
414	1978	7556
415	1982	7548
