iter	Passed	Remaining
0	4	4546
1	8	4439
2	13	4584
3	18	4613
4	22	4496
5	25	4281
6	29	4242
7	32	4044
8	34	3827
9	36	3644
10	39	3510
11	41	3382
12	43	3306
13	45	3211
14	47	3111
15	49	3019
16	50	2926
17	52	2845
18	53	2772
19	55	2705
20	56	2643
21	58	2600
22	60	2555
23	61	2511
24	63	2471
25	64	2428
26	66	2388
27	67	2355
28	69	2322
29	70	2292
30	72	2270
31	74	2258
32	76	2239
33	78	2230
34	80	2207
35	81	2184
36	83	2161
37	84	2141
38	86	2123
39	87	2106
40	89	2088
41	91	2078
42	93	2070
43	94	2056
44	96	2040
45	97	2025
46	99	2011
47	100	1998
48	102	1986
49	103	1973
50	105	1964
51	107	1958
52	109	1950
53	111	1948
54	112	1938
55	114	1928
56	115	1918
57	117	1907
58	118	1896
59	120	1887
60	122	1880
61	124	1876
62	125	1870
63	127	1862
64	128	1854
65	130	1845
66	131	1837
67	133	1829
68	135	1822
69	136	1814
70	138	1810
71	140	1806
72	141	1800
73	143	1794
74	145	1788
75	146	1781
76	148	1775
77	149	1768
78	151	1762
79	152	1756
80	154	1750
81	155	1744
82	157	1739
83	158	1733
84	160	1727
85	162	1721
86	163	1715
87	165	1710
88	166	1704
89	168	1698
90	169	1694
91	171	1692
92	173	1687
93	174	1682
94	176	1677
95	177	1672
96	179	1667
97	180	1663
98	182	1658
99	183	1654
100	185	1650
101	187	1649
102	189	1647
103	190	1644
104	192	1640
105	193	1635
106	195	1631
107	196	1627
108	198	1622
109	200	1618
110	201	1614
111	203	1613
112	205	1609
113	206	1605
114	208	1601
115	209	1597
116	211	1593
117	212	1589
118	214	1586
119	215	1582
120	217	1578
121	219	1578
122	221	1576
123	223	1576
124	225	1578
125	227	1579
126	229	1575
127	230	1572
128	232	1568
129	233	1564
130	235	1563
131	237	1564
132	239	1562
133	241	1561
134	243	1558
135	244	1555
136	246	1552
137	247	1548
138	249	1545
139	251	1543
140	252	1540
141	254	1537
142	256	1534
143	257	1531
144	259	1528
145	260	1526
146	262	1523
147	264	1519
148	265	1517
149	267	1515
150	269	1513
151	270	1510
152	272	1507
153	273	1504
154	275	1501
155	276	1498
156	278	1495
157	280	1493
158	281	1491
159	283	1490
160	285	1488
161	287	1487
162	289	1486
163	291	1483
164	292	1480
165	294	1477
166	295	1474
167	297	1471
168	298	1469
169	300	1468
170	302	1466
171	304	1464
172	305	1461
173	307	1458
174	308	1455
175	310	1452
176	311	1450
177	313	1447
178	315	1445
179	316	1443
180	318	1441
181	320	1438
182	321	1435
183	323	1432
184	324	1430
185	326	1427
186	327	1424
187	329	1422
188	331	1422
189	333	1421
190	335	1419
191	336	1418
192	338	1415
193	340	1412
194	341	1410
195	343	1407
196	344	1404
197	346	1402
198	348	1401
199	349	1399
200	351	1397
201	352	1394
202	354	1391
203	355	1388
204	357	1386
205	359	1384
206	360	1381
207	362	1380
208	364	1379
209	366	1377
210	367	1374
211	369	1372
212	370	1370
213	372	1367
214	373	1365
215	375	1362
216	377	1360
217	378	1359
218	380	1356
219	382	1354
220	383	1352
221	385	1349
222	386	1347
223	388	1344
224	389	1342
225	391	1339
226	392	1337
227	394	1335
228	396	1334
229	397	1331
230	399	1329
231	400	1327
232	402	1324
233	403	1322
234	405	1320
235	407	1317
236	408	1315
237	410	1313
238	411	1311
239	413	1309
240	415	1307
241	416	1305
242	418	1302
243	419	1300
244	421	1298
245	423	1296
246	424	1295
247	426	1293
248	428	1291
249	429	1289
250	431	1287
251	433	1285
252	434	1283
253	436	1281
254	437	1279
255	439	1277
256	441	1275
257	442	1273
258	444	1271
259	446	1270
260	448	1268
261	449	1266
262	451	1264
263	452	1262
264	454	1260
265	455	1257
266	457	1255
267	459	1254
268	460	1252
269	462	1250
270	464	1248
271	465	1246
272	467	1244
273	468	1241
274	470	1239
275	471	1237
276	473	1235
277	475	1234
278	476	1232
279	478	1230
280	479	1228
281	481	1225
282	482	1223
283	484	1221
284	486	1219
285	487	1217
286	489	1215
287	490	1213
288	492	1211
289	494	1209
290	495	1208
291	497	1205
292	498	1203
293	500	1201
294	501	1199
295	503	1197
296	505	1195
297	506	1193
298	508	1192
299	510	1191
300	512	1189
301	513	1187
302	515	1185
303	516	1183
304	518	1180
305	519	1178
306	521	1177
307	523	1177
308	525	1176
309	528	1176
310	530	1174
311	532	1173
312	533	1172
313	535	1170
314	537	1169
315	539	1167
316	541	1166
317	543	1166
318	545	1164
319	547	1162
320	548	1160
321	550	1158
322	551	1156
323	553	1154
324	554	1152
325	556	1151
326	558	1150
327	560	1148
328	561	1146
329	563	1144
330	565	1142
331	566	1140
332	568	1137
333	569	1136
334	571	1134
335	573	1132
336	574	1130
337	576	1128
338	577	1126
339	579	1124
340	580	1122
341	582	1120
342	583	1118
343	585	1116
344	587	1114
345	589	1113
346	590	1111
347	592	1109
348	594	1108
349	595	1106
350	597	1105
351	599	1103
352	601	1101
353	602	1100
354	604	1099
355	606	1097
356	608	1095
357	609	1093
358	611	1091
359	612	1089
360	614	1087
361	615	1085
362	617	1083
363	618	1081
364	620	1079
365	622	1077
366	623	1075
367	625	1073
368	626	1071
369	628	1069
370	629	1067
371	631	1065
372	632	1063
373	634	1062
374	636	1060
375	638	1059
376	639	1057
377	641	1055
378	643	1053
379	644	1051
380	646	1049
381	647	1047
382	649	1045
383	650	1043
384	652	1042
385	654	1040
386	655	1038
387	657	1036
388	658	1034
389	660	1033
390	661	1030
391	663	1029
392	664	1027
393	666	1025
394	668	1023
395	669	1021
396	671	1019
397	673	1018
398	674	1016
399	676	1014
400	677	1012
401	679	1010
402	680	1008
403	682	1006
404	683	1004
405	685	1003
406	687	1001
407	688	999
408	690	997
409	691	995
410	693	993
411	694	991
412	696	989
413	698	988
414	699	986
415	701	985
416	703	983
417	704	981
418	706	979
419	708	977
420	709	976
421	711	974
422	712	972
423	714	970
424	716	968
425	717	967
426	719	966
427	721	964
428	723	963
429	725	961
430	727	959
431	728	957
432	730	955
433	731	954
434	733	952
435	735	951
436	736	949
437	738	947
438	739	945
439	741	943
440	742	941
441	744	939
442	746	938
443	748	936
444	749	935
445	751	933
446	753	931
447	754	929
448	756	928
449	757	926
450	759	924
451	760	922
452	762	920
453	763	918
454	765	917
455	767	915
456	768	913
457	770	911
458	771	909
459	773	907
460	774	906
461	776	904
462	777	902
463	779	900
464	781	899
465	782	897
466	784	895
467	786	893
468	787	891
469	789	889
470	790	887
471	792	886
472	793	884
473	795	882
474	797	881
475	798	879
476	800	877
477	801	875
478	803	873
479	804	872
480	806	870
481	807	868
482	809	866
483	811	864
484	813	863
485	814	861
486	816	860
487	818	858
488	820	857
489	821	855
490	822	853
491	824	851
492	826	849
493	827	847
494	829	846
495	831	844
496	833	843
497	834	841
498	836	839
499	837	837
500	839	835
501	840	833
502	842	832
503	843	830
504	845	828
505	848	827
506	849	826
507	851	824
508	852	822
509	854	820
510	855	819
511	857	817
512	858	815
513	860	813
514	862	812
515	864	810
516	865	808
517	867	807
518	869	805
519	870	803
520	872	801
521	873	799
522	875	798
523	876	796
524	878	794
525	880	793
526	881	791
527	883	789
528	885	787
529	886	786
530	888	784
531	889	782
532	891	781
533	893	779
534	894	777
535	896	776
536	898	774
537	899	772
538	901	770
539	902	769
540	904	767
541	905	765
542	907	763
543	909	762
544	910	760
545	912	758
546	913	756
547	915	754
548	916	753
549	918	751
550	919	749
551	921	747
552	922	745
553	924	744
554	926	742
555	928	741
556	929	739
557	931	737
558	933	736
559	934	734
560	936	732
561	937	730
562	939	728
563	941	727
564	943	726
565	944	724
566	946	722
567	947	720
568	949	719
569	950	717
570	952	715
571	954	713
572	955	712
573	957	710
574	959	708
575	960	707
576	962	705
577	963	703
578	965	701
579	966	700
580	968	698
581	969	696
582	971	694
583	972	692
584	974	691
585	975	689
586	977	687
587	978	685
588	980	684
589	981	682
590	983	680
591	984	678
592	986	677
593	988	675
594	990	674
595	991	672
596	993	670
597	994	668
598	996	666
599	997	665
600	999	663
601	1000	661
602	1002	659
603	1004	658
604	1005	656
605	1007	654
606	1008	652
607	1009	651
608	1011	649
609	1013	647
610	1014	645
611	1015	644
612	1017	642
613	1018	640
614	1020	638
615	1022	637
616	1024	635
617	1026	634
618	1027	632
619	1029	630
620	1030	629
621	1032	627
622	1033	625
623	1035	623
624	1037	622
625	1039	620
626	1040	619
627	1042	617
628	1043	615
629	1045	613
630	1046	612
631	1047	610
632	1049	608
633	1050	606
634	1052	604
635	1054	603
636	1055	601
637	1057	600
638	1059	598
639	1060	596
640	1061	594
641	1063	592
642	1064	591
643	1066	589
644	1067	587
645	1069	586
646	1071	584
647	1072	582
648	1074	581
649	1075	579
650	1077	577
651	1078	575
652	1080	574
653	1082	572
654	1083	570
655	1085	569
656	1087	567
657	1088	565
658	1090	564
659	1091	562
660	1092	560
661	1094	558
662	1096	557
663	1097	555
664	1098	553
665	1100	552
666	1102	550
667	1103	548
668	1105	546
669	1107	545
670	1108	543
671	1109	541
672	1111	539
673	1112	538
674	1114	536
675	1116	534
676	1118	533
677	1120	532
678	1122	530
679	1123	528
680	1125	527
681	1126	525
682	1128	523
683	1129	522
684	1131	520
685	1133	518
686	1135	517
687	1136	515
688	1138	513
689	1139	512
690	1141	510
691	1142	508
692	1144	506
693	1145	505
694	1147	503
695	1149	501
696	1150	500
697	1152	498
698	1154	497
699	1155	495
700	1157	493
701	1158	491
702	1160	490
703	1161	488
704	1163	486
705	1164	484
706	1166	483
707	1167	481
708	1169	479
709	1170	478
710	1172	476
711	1173	474
712	1175	473
713	1176	471
714	1178	469
715	1179	468
716	1181	466
717	1183	464
718	1184	463
719	1186	461
720	1187	459
721	1189	457
722	1191	456
723	1192	454
724	1193	452
725	1195	451
726	1197	449
727	1198	447
728	1200	446
729	1201	444
730	1203	442
731	1204	441
732	1206	439
733	1207	437
734	1209	436
735	1210	434
736	1212	432
737	1214	431
738	1216	429
739	1217	427
740	1219	426
741	1221	424
742	1222	422
743	1224	421
744	1225	419
745	1227	417
746	1228	416
747	1230	414
748	1232	412
749	1233	411
750	1235	409
751	1236	407
752	1237	406
753	1239	404
754	1240	402
755	1242	400
756	1243	399
757	1245	397
758	1246	395
759	1248	394
760	1250	392
761	1251	390
762	1253	389
763	1254	387
764	1256	385
765	1257	384
766	1259	382
767	1260	380
768	1262	379
769	1263	377
770	1265	375
771	1266	374
772	1268	372
773	1269	370
774	1271	369
775	1272	367
776	1274	365
777	1275	364
778	1277	362
779	1279	360
780	1280	359
781	1282	357
782	1283	355
783	1285	354
784	1286	352
785	1288	350
786	1289	348
787	1290	347
788	1292	345
789	1294	344
790	1296	342
791	1297	340
792	1299	339
793	1300	337
794	1302	335
795	1303	334
796	1304	332
797	1306	330
798	1307	328
799	1309	327
800	1311	325
801	1312	324
802	1314	322
803	1316	320
804	1317	319
805	1319	317
806	1320	315
807	1321	314
808	1323	312
809	1325	310
810	1327	309
811	1328	307
812	1330	305
813	1331	304
814	1333	302
815	1334	300
816	1336	299
817	1337	297
818	1339	295
819	1340	294
820	1342	292
821	1344	291
822	1346	289
823	1347	287
824	1349	286
825	1350	284
826	1352	282
827	1353	281
828	1355	279
829	1356	277
830	1358	276
831	1360	274
832	1361	273
833	1363	271
834	1364	269
835	1366	268
836	1367	266
837	1369	264
838	1370	263
839	1372	261
840	1373	259
841	1375	258
842	1377	256
843	1378	254
844	1379	253
845	1381	251
846	1382	249
847	1384	248
848	1385	246
849	1387	244
850	1389	243
851	1390	241
852	1392	239
853	1393	238
854	1395	236
855	1396	234
856	1398	233
857	1399	231
858	1401	229
859	1402	228
860	1404	226
861	1406	225
862	1408	223
863	1409	221
864	1410	220
865	1412	218
866	1413	216
867	1415	215
868	1416	213
869	1418	211
870	1419	210
871	1421	208
872	1423	207
873	1424	205
874	1426	203
875	1428	202
876	1429	200
877	1431	198
878	1432	197
879	1433	195
880	1435	193
881	1436	192
882	1438	190
883	1440	189
884	1442	187
885	1443	185
886	1445	184
887	1446	182
888	1447	180
889	1449	179
890	1450	177
891	1452	175
892	1453	174
893	1455	172
894	1457	170
895	1459	169
896	1460	167
897	1462	166
898	1463	164
899	1465	162
900	1466	161
901	1468	159
902	1469	157
903	1471	156
904	1473	154
905	1474	153
906	1476	151
907	1477	149
908	1479	148
909	1480	146
910	1481	144
911	1483	143
912	1485	141
913	1486	139
914	1488	138
915	1490	136
916	1491	135
917	1493	133
918	1494	131
919	1495	130
920	1497	128
921	1498	126
922	1500	125
923	1502	123
924	1504	121
925	1505	120
926	1507	118
927	1508	117
928	1510	115
929	1511	113
930	1513	112
931	1514	110
932	1516	108
933	1518	107
934	1519	105
935	1521	104
936	1522	102
937	1524	100
938	1525	99
939	1527	97
940	1528	95
941	1530	94
942	1531	92
943	1533	90
944	1534	89
945	1536	87
946	1538	86
947	1539	84
948	1541	82
949	1542	81
950	1543	79
951	1545	77
952	1546	76
953	1548	74
954	1550	73
955	1551	71
956	1552	69
957	1554	68
958	1555	66
959	1557	64
960	1559	63
961	1560	61
962	1561	60
963	1563	58
964	1565	56
965	1567	55
966	1569	53
967	1571	51
968	1572	50
969	1574	48
970	1576	47
971	1577	45
972	1579	43
973	1580	42
974	1582	40
975	1584	38
976	1585	37
977	1587	35
978	1588	34
979	1590	32
980	1591	30
981	1592	29
982	1594	27
983	1595	25
984	1597	24
985	1599	22
986	1600	21
987	1602	19
988	1603	17
989	1605	16
990	1606	14
991	1608	12
992	1609	11
993	1611	9
994	1612	8
995	1614	6
996	1616	4
997	1617	3
998	1619	1
999	1620	0
