iter	Passed	Remaining
0	44	112394
1	89	111870
2	127	106513
3	169	105753
4	205	102500
5	241	100198
6	273	97496
7	310	96663
8	345	95705
9	376	93838
10	410	92961
11	442	91646
12	480	91876
13	512	90932
14	543	90115
15	576	89531
16	608	88903
17	642	88607
18	676	88384
19	715	88681
20	756	89271
21	789	88976
22	820	88411
23	858	88559
24	898	88964
25	934	88911
26	972	89034
27	1012	89371
28	1041	88755
29	1076	88603
30	1106	88098
31	1139	87846
32	1170	87535
33	1204	87345
34	1238	87200
35	1269	86878
36	1302	86676
37	1335	86499
38	1364	86132
39	1392	85656
40	1425	85495
41	1457	85295
42	1495	85432
43	1528	85300
44	1557	84972
45	1589	84771
46	1623	84728
47	1663	85002
48	1700	85058
49	1740	85277
50	1779	85441
51	1812	85343
52	1848	85341
53	1878	85106
54	1914	85129
55	1948	85041
56	1981	84935
57	2012	84730
58	2046	84651
59	2075	84392
60	2107	84278
61	2163	85090
62	2192	84814
63	2221	84563
64	2250	84318
65	2282	84174
66	2317	84161
67	2346	83938
68	2380	83872
69	2407	83563
70	2436	83364
71	2470	83294
72	2509	83438
73	2544	83424
74	2574	83240
75	2607	83179
76	2641	83132
77	2677	83128
78	2707	82971
79	2736	82771
80	2772	82812
81	2813	82950
82	2839	82699
83	2867	82468
84	2895	82252
85	2930	82256
86	2964	82231
87	2993	82057
88	3027	82019
89	3069	82187
90	3099	82042
91	3137	82113
92	3178	82262
93	3214	82283
94	3243	82108
95	3286	82305
96	3321	82273
97	3357	82293
98	3385	82098
99	3411	81881
100	3439	81706
101	3466	81490
102	3507	81627
103	3534	81422
104	3568	81388
105	3610	81538
106	3644	81504
107	3682	81550
108	3710	81384
109	3735	81165
110	3763	81007
111	3790	80819
112	3817	80634
113	3851	80602
114	3887	80616
115	3915	80467
116	3944	80332
117	3970	80147
118	3996	79967
119	4024	79821
120	4054	79720
121	4089	79702
122	4118	79590
123	4156	79648
124	4196	79731
125	4225	79615
126	4258	79571
127	4293	79559
128	4319	79386
129	4345	79230
130	4372	79066
131	4405	79040
132	4439	79002
133	4469	78913
134	4511	79026
135	4547	79045
136	4582	79039
137	4614	78974
138	4640	78821
139	4676	78831
140	4715	78884
141	4749	78876
142	4785	78882
143	4812	78733
144	4841	78626
145	4872	78556
146	4899	78432
147	4931	78368
148	4971	78438
149	5012	78525
150	5049	78557
151	5082	78510
152	5123	78591
153	5149	78447
154	5195	78597
155	5233	78630
156	5261	78518
157	5292	78453
158	5325	78413
159	5359	78389
160	5392	78346
161	5419	78208
162	5449	78127
163	5474	77985
164	5505	77913
165	5531	77768
166	5558	77652
167	5595	77669
168	5628	77637
169	5666	77670
170	5700	77644
171	5739	77681
172	5774	77669
173	5811	77683
174	5845	77655
175	5882	77669
176	5917	77660
177	5949	77609
178	5984	77598
179	6021	77609
180	6058	77618
181	6101	77710
182	6126	77563
183	6153	77448
184	6184	77391
185	6215	77326
186	6241	77201
187	6279	77226
188	6306	77109
189	6345	77150
190	6376	77090
191	6410	77063
192	6450	77105
193	6482	77052
194	6511	76972
195	6553	77031
196	6591	77058
197	6621	76981
198	6655	76961
199	6681	76842
200	6720	76868
201	6755	76847
202	6788	76819
203	6823	76796
204	6858	76781
205	6886	76688
206	6923	76688
207	6957	76669
208	6995	76687
209	7028	76642
210	7065	76647
211	7105	76684
212	7131	76573
213	7156	76447
214	7196	76484
215	7227	76426
216	7263	76418
217	7289	76307
218	7324	76288
219	7363	76310
220	7388	76196
221	7423	76170
222	7455	76122
223	7493	76137
224	7519	76034
225	7554	76017
226	7581	75913
227	7614	75874
228	7641	75781
229	7672	75729
230	7710	75739
231	7742	75694
232	7778	75679
233	7814	75673
234	7854	75700
235	7889	75683
236	7921	75640
237	7958	75642
238	7998	75669
239	8035	75666
240	8073	75672
241	8111	75683
242	8143	75641
243	8187	75697
244	8213	75596
245	8243	75534
246	8279	75518
247	8316	75516
248	8351	75497
249	8381	75436
250	8409	75349
251	8445	75338
252	8482	75338
253	8516	75304
254	8555	75324
255	8586	75267
256	8618	75220
257	8657	75228
258	8687	75169
259	8717	75101
260	8746	75031
261	8780	75004
262	8814	74971
263	8847	74933
264	8877	74869
265	8907	74813
266	8934	74724
267	8973	74733
268	9024	74842
269	9059	74828
270	9100	74851
271	9136	74840
272	9164	74760
273	9201	74755
274	9228	74666
275	9266	74667
276	9303	74664
277	9343	74682
278	9384	74706
279	9425	74730
280	9493	74970
281	9539	75032
282	9569	74964
283	9606	74960
284	9644	74958
285	9679	74931
286	9706	74843
287	9740	74809
288	9776	74793
289	9806	74729
290	9842	74716
291	9887	74769
292	9924	74752
293	9953	74688
294	9984	74631
295	10019	74606
296	10054	74576
297	10097	74616
298	10140	74645
299	10177	74636
300	10217	74646
301	10257	74655
302	10290	74612
303	10320	74552
304	10351	74496
305	10379	74417
306	10405	74329
307	10441	74310
308	10474	74270
309	10516	74297
310	10544	74221
311	10576	74167
312	10603	74091
313	10643	74097
314	10673	74034
315	10712	74041
316	10746	74002
317	10785	74003
318	10814	73936
319	10848	73903
320	10889	73919
321	10925	73900
322	10955	73842
323	10993	73835
324	11024	73781
325	11060	73761
326	11103	73785
327	11146	73810
328	11178	73763
329	11213	73739
330	11247	73700
331	11272	73608
332	11308	73592
333	11352	73621
334	11392	73628
335	11411	73493
336	11447	73475
337	11484	73458
338	11522	73453
339	11558	73428
340	11594	73409
341	11631	73391
342	11663	73349
343	11706	73369
344	11740	73338
345	11769	73269
346	11807	73263
347	11841	73226
348	11882	73232
349	11911	73173
350	11948	73156
351	11990	73171
352	12022	73123
353	12061	73118
354	12095	73085
355	12133	73072
356	12167	73036
357	12208	73044
358	12251	73067
359	12286	73036
360	12313	72961
361	12343	72903
362	12378	72870
363	12415	72856
364	12445	72796
365	12484	72790
366	12516	72746
367	12556	72746
368	12589	72705
369	12622	72665
370	12650	72597
371	12686	72573
372	12713	72494
373	12743	72437
374	12786	72456
375	12823	72440
376	12856	72400
377	12892	72377
378	12924	72327
379	12953	72268
380	12985	72220
381	13022	72205
382	13057	72176
383	13086	72110
384	13114	72046
385	13150	72019
386	13181	71971
387	13208	71899
388	13247	71891
389	13287	71886
390	13315	71822
391	13355	71820
392	13393	71805
