iter	Logloss
0	0.6805993503
1	0.6680818606
2	0.6581847369
3	0.6474057181
4	0.6367615255
5	0.6281266538
6	0.6184527089
7	0.610286817
8	0.6008956686
9	0.5934122624
10	0.5870560852
11	0.578884251
12	0.5734086137
13	0.5666564897
14	0.5599686207
15	0.5531153453
16	0.546382852
17	0.540306102
18	0.5344341269
19	0.5289479581
20	0.5242119555
21	0.5197020252
22	0.5143201975
23	0.5108940821
24	0.5057784714
25	0.5014475549
26	0.4969910416
27	0.4929060192
28	0.4891477745
29	0.4846002942
30	0.4811869292
31	0.4770997016
32	0.4730252784
33	0.4693995159
34	0.4658208371
35	0.4621482197
36	0.4585212166
37	0.4551289442
38	0.4517641576
39	0.448744785
40	0.4460652966
41	0.4434152909
42	0.4409738616
43	0.4390512352
44	0.4365629252
45	0.4342295652
46	0.431453564
47	0.4289682912
48	0.4266444838
49	0.4245873988
50	0.4225851637
51	0.4202087565
52	0.4180703266
53	0.4162509556
54	0.414192758
55	0.4120818435
56	0.4100313804
57	0.408576363
58	0.4071169466
59	0.4054355357
60	0.4039841447
61	0.4021807278
62	0.4007460531
63	0.3994122484
64	0.3978607982
65	0.396775078
66	0.3958630434
67	0.3946683365
68	0.3935971528
69	0.3925509286
70	0.3911738576
71	0.3899722817
72	0.3890355969
73	0.3880776718
74	0.387196013
75	0.3859756375
76	0.3850634806
77	0.3845396127
78	0.3836876058
79	0.3829192056
80	0.3822631377
81	0.3812711766
82	0.3802415522
83	0.379401156
84	0.3784005862
85	0.3776831061
86	0.3768467864
87	0.376079384
88	0.3753219907
89	0.3745766179
90	0.3744426148
91	0.3736948152
92	0.3733494453
93	0.3727099549
94	0.372124592
95	0.3713657237
96	0.3708357119
97	0.3699079299
98	0.369255797
99	0.3687832395
100	0.3683438079
101	0.3677637683
102	0.367255909
103	0.3665352803
104	0.3660029235
105	0.3655153374
106	0.365176832
107	0.3646705782
108	0.3642067065
109	0.3636349889
110	0.3630574327
111	0.3624431196
112	0.3619596005
113	0.3614487647
114	0.361027135
115	0.3604123994
116	0.3599281537
117	0.3595345998
118	0.3591487195
119	0.3587210974
120	0.3582259335
