iter	RMSE
0	35.37519957
1	32.5154687
2	29.92109387
3	27.56463858
4	25.35635904
5	23.19140031
6	21.86470264
7	20.1409937
8	18.51478122
9	17.11421597
10	15.79226415
11	14.61335886
12	13.58848214
13	12.74282718
14	12.15709909
15	11.32192491
16	10.60868257
17	10.04335778
18	9.622633855
19	9.247844508
20	8.711967172
21	8.381268449
22	7.875410189
23	7.437548453
24	7.048838624
25	6.70874403
26	6.381532979
27	6.233501176
28	5.975961698
29	5.696018141
30	5.601892516
31	5.393511845
32	5.186385653
33	5.074239809
34	4.88857355
35	4.70270933
36	4.637502984
37	4.615361223
38	4.451081548
39	4.424835903
40	4.281469684
41	4.246125211
42	4.13249046
43	4.105186872
44	3.982105251
45	3.951667318
46	3.879521899
47	3.821542639
48	3.729615821
49	3.721687401
50	3.705749084
51	3.64233036
52	3.531315427
53	3.477809652
54	3.404151546
55	3.348949927
56	3.334334231
57	3.263603977
58	3.188905461
59	3.160009201
60	3.137016458
61	3.113331118
62	3.081339467
63	2.986025896
64	2.955869505
65	2.954660453
66	2.899413777
67	2.818225829
68	2.805193621
69	2.743599135
70	2.68408816
71	2.636503484
72	2.595468146
73	2.572155877
74	2.556039211
75	2.539558338
76	2.531372232
77	2.51286795
78	2.492568351
79	2.444142154
80	2.409193227
81	2.391967254
82	2.373794757
83	2.352654777
84	2.337243292
85	2.325977732
86	2.282454943
87	2.242717187
88	2.231193594
89	2.187121214
90	2.157189941
91	2.132826613
92	2.102718346
93	2.081096614
94	2.058459576
95	2.049546588
96	2.030255194
97	2.002838529
98	1.993300819
99	1.96181992
100	1.952499513
101	1.922759499
102	1.894326583
103	1.886924684
104	1.866373244
105	1.842506133
106	1.829652804
107	1.815603603
108	1.806811087
109	1.786040805
110	1.78047657
111	1.774029106
112	1.767235224
113	1.747589847
114	1.732935558
115	1.726822574
116	1.71845932
117	1.711874753
118	1.691243664
119	1.685329624
120	1.681898438
121	1.67416867
122	1.665869945
123	1.653232454
124	1.632564335
125	1.627744665
126	1.62487397
127	1.609835369
128	1.607225996
129	1.602940474
130	1.598942399
131	1.588796136
132	1.568877166
133	1.565410946
134	1.553376437
135	1.549559776
136	1.540127897
137	1.531627003
138	1.523354267
139	1.510856204
140	1.501198499
141	1.496884935
142	1.493677996
143	1.489946498
144	1.477257902
145	1.473401183
146	1.470082453
147	1.463293216
148	1.458875348
149	1.454453665
150	1.452607542
151	1.44884255
152	1.447066469
153	1.440251394
154	1.436398475
155	1.43454234
156	1.417386123
157	1.406053127
158	1.404740426
159	1.403862959
160	1.388409087
161	1.366313685
162	1.351524444
163	1.341025402
164	1.336937739
165	1.335416666
166	1.327285488
167	1.317230613
168	1.313565602
169	1.312325646
170	1.302457988
171	1.291483266
172	1.280492481
173	1.274094138
174	1.270185708
175	1.261631741
176	1.256237276
177	1.246725859
178	1.243629446
179	1.240893091
180	1.230158068
181	1.223376574
182	1.219466372
183	1.216048493
184	1.215097327
185	1.211621403
186	1.207093487
187	1.198547881
