iter	Passed	Remaining
0	17	17790
1	35	17881
2	50	16646
3	65	16345
4	80	16047
5	89	14776
6	93	13234
7	105	13127
8	119	13195
9	133	13198
10	144	13034
11	158	13041
12	171	13007
13	185	13049
14	192	12654
15	201	12411
16	235	13623
17	250	13657
18	266	13752
19	281	13806
20	296	13809
21	315	14017
22	330	14045
23	344	14001
24	357	13951
25	370	13876
26	383	13830
27	396	13762
28	412	13820
29	427	13833
30	437	13672
31	451	13649
32	464	13609
33	477	13577
34	491	13561
35	506	13574
36	521	13565
37	531	13452
38	546	13462
39	557	13386
40	572	13385
41	585	13350
42	600	13360
43	613	13335
44	627	13316
45	640	13278
46	654	13277
47	669	13275
48	682	13246
49	688	13090
50	698	12991
51	712	12986
52	727	12995
53	740	12977
54	755	12972
55	769	12969
56	778	12871
57	790	12841
58	804	12827
59	817	12805
60	830	12784
61	844	12782
62	866	12886
63	892	13048
64	912	13128
65	922	13058
66	940	13095
67	962	13185
68	970	13088
69	982	13053
70	995	13019
71	1008	12993
72	1021	12971
73	1035	12959
74	1048	12934
75	1063	12926
76	1077	12920
77	1091	12904
78	1106	12902
79	1120	12887
80	1135	12884
81	1147	12848
82	1160	12823
83	1174	12809
84	1188	12797
85	1202	12780
86	1216	12769
87	1229	12747
88	1243	12725
89	1255	12698
90	1269	12682
91	1286	12693
92	1302	12698
93	1315	12677
94	1328	12657
95	1340	12626
96	1355	12618
97	1371	12618
98	1389	12643
99	1402	12625
100	1417	12613
101	1434	12626
102	1450	12634
103	1464	12621
104	1478	12603
105	1492	12586
106	1504	12556
107	1525	12602
108	1548	12656
109	1570	12707
110	1582	12677
111	1594	12641
112	1605	12599
113	1616	12559
114	1627	12525
115	1638	12483
116	1649	12447
117	1661	12415
118	1671	12374
119	1683	12343
120	1694	12312
121	1706	12278
122	1716	12239
123	1728	12209
124	1739	12174
125	1750	12140
126	1762	12113
127	1779	12125
128	1793	12112
129	1807	12095
130	1820	12074
131	1832	12050
132	1845	12027
133	1857	12005
134	1868	11970
135	1879	11941
136	1892	11920
137	1904	11893
138	1915	11862
139	1927	11842
140	1939	11814
141	1949	11780
142	1961	11754
143	1973	11732
144	1984	11700
145	2014	11786
146	2027	11764
147	2038	11736
148	2050	11709
149	2061	11683
150	2074	11662
151	2086	11640
152	2098	11615
153	2110	11593
154	2122	11569
155	2133	11541
156	2143	11508
157	2155	11487
158	2167	11466
159	2179	11442
160	2206	11499
161	2219	11481
162	2233	11470
163	2246	11453
164	2259	11433
165	2272	11415
166	2285	11401
167	2298	11382
168	2309	11357
169	2323	11346
170	2338	11338
171	2351	11319
172	2364	11300
173	2376	11280
174	2389	11266
175	2403	11253
176	2416	11234
177	2431	11228
178	2444	11210
179	2456	11189
180	2469	11174
181	2485	11171
182	2500	11161
183	2513	11147
184	2527	11136
185	2545	11140
186	2559	11125
187	2571	11107
188	2585	11092
189	2599	11082
190	2614	11073
191	2627	11058
192	2641	11044
193	2654	11028
194	2667	11013
195	2681	10998
196	2694	10984
197	2707	10968
198	2720	10950
199	2733	10932
200	2746	10918
201	2758	10898
202	2771	10881
203	2784	10866
204	2799	10855
205	2813	10845
206	2827	10830
207	2851	10855
208	2876	10888
209	2894	10889
210	2912	10890
211	2929	10889
212	2946	10887
213	2960	10874
214	2974	10862
215	2987	10844
216	2999	10823
217	3012	10806
218	3027	10795
219	3039	10776
220	3051	10755
221	3063	10736
222	3077	10723
223	3091	10708
224	3103	10689
225	3115	10671
226	3128	10654
227	3141	10637
228	3155	10625
229	3169	10611
230	3182	10596
231	3198	10587
232	3213	10577
233	3227	10565
234	3240	10547
235	3253	10531
236	3264	10510
237	3277	10493
238	3291	10479
239	3305	10466
240	3318	10450
241	3332	10436
242	3345	10422
243	3358	10404
244	3371	10390
245	3385	10378
246	3401	10368
247	3415	10356
248	3429	10344
249	3443	10330
250	3456	10315
251	3470	10300
252	3483	10285
253	3497	10271
254	3512	10263
255	3527	10251
256	3540	10236
257	3553	10219
258	3567	10208
259	3580	10191
260	3592	10172
261	3606	10158
262	3619	10142
263	3631	10123
264	3643	10105
265	3655	10088
266	3671	10078
267	3684	10062
268	3697	10047
269	3711	10036
270	3724	10019
271	3739	10008
272	3755	10001
273	3771	9994
274	3788	9989
275	3802	9974
276	3817	9965
277	3834	9958
278	3849	9946
279	3862	9932
280	3875	9916
281	3887	9898
282	3900	9883
283	3914	9869
284	3926	9851
285	3939	9835
286	3953	9820
287	3969	9813
288	3982	9798
289	3996	9784
290	4009	9768
291	4022	9752
292	4034	9735
293	4049	9724
294	4063	9710
295	4079	9702
296	4092	9686
297	4106	9672
298	4118	9656
299	4132	9642
300	4144	9625
301	4157	9609
302	4169	9590
303	4181	9573
304	4193	9556
305	4205	9537
306	4216	9517
307	4230	9503
308	4245	9494
309	4259	9480
310	4275	9473
311	4293	9466
312	4308	9456
313	4323	9445
314	4338	9435
315	4350	9417
316	4365	9406
317	4379	9391
318	4391	9374
319	4403	9356
320	4415	9339
321	4426	9321
322	4439	9304
323	4451	9286
324	4461	9267
325	4474	9249
326	4487	9234
327	4498	9217
328	4512	9202
329	4523	9184
330	4534	9165
331	4545	9145
332	4557	9128
333	4569	9112
334	4580	9093
335	4592	9075
336	4605	9060
337	4618	9045
338	4632	9032
339	4645	9018
340	4659	9005
341	4674	8993
342	4688	8979
343	4700	8964
344	4713	8948
345	4726	8933
346	4739	8918
347	4751	8902
348	4763	8884
349	4774	8867
350	4787	8851
351	4798	8834
352	4810	8816
353	4822	8799
354	4833	8782
355	4844	8763
356	4855	8746
357	4867	8729
358	4879	8711
359	4890	8693
360	4900	8674
361	4912	8658
362	4925	8643
363	4939	8630
364	4952	8615
365	4965	8601
366	4978	8586
367	4990	8570
368	5002	8554
369	5015	8539
370	5028	8525
371	5040	8509
372	5053	8493
373	5067	8481
374	5082	8470
375	5094	8454
376	5107	8439
