iter	Passed	Remaining
0	36	36209
1	67	33711
2	99	33044
3	130	32501
4	164	32664
5	198	32930
6	230	32703
7	264	32781
8	295	32504
9	329	32604
10	359	32348
11	392	32303
12	426	32385
13	457	32211
14	493	32438
15	525	32327
16	559	32342
17	594	32446
18	637	32891
19	673	32980
20	705	32905
21	735	32693
22	771	32782
23	806	32780
24	847	33066
25	885	33164
26	917	33052
27	951	33025
28	985	32989
29	1017	32905
30	1054	32976
31	1092	33041
32	1123	32933
33	1154	32791
34	1184	32663
35	1219	32656
36	1254	32656
37	1285	32549
38	1318	32480
39	1352	32455
40	1385	32401
41	1416	32314
42	1445	32167
43	1479	32152
44	1515	32160
45	1548	32115
46	1585	32141
47	1621	32165
48	1656	32143
49	1690	32125
50	1727	32141
51	1761	32114
52	1796	32091
53	1826	31989
54	1857	31917
55	1890	31874
56	1924	31833
57	1955	31767
58	1988	31721
59	2021	31677
60	2054	31624
61	2087	31587
62	2118	31508
63	2151	31464
64	2188	31473
65	2220	31420
66	2250	31342
67	2281	31266
68	2315	31242
69	2344	31150
70	2375	31086
71	2406	31019
72	2440	30990
73	2476	30986
74	2508	30937
75	2539	30878
76	2570	30808
77	2598	30718
78	2633	30696
79	2665	30652
80	2695	30587
81	2727	30536
82	2764	30547
83	2796	30496
84	2830	30466
85	2864	30445
86	2898	30412
87	2929	30357
88	2963	30331
89	2998	30314
90	3033	30305
91	3065	30256
92	3099	30228
93	3131	30182
94	3164	30143
95	3197	30107
96	3231	30082
97	3266	30062
98	3300	30039
99	3328	29954
100	3358	29893
101	3387	29823
102	3420	29785
103	3448	29712
104	3480	29671
105	3511	29616
106	3543	29574
107	3575	29529
108	3605	29473
109	3639	29443
110	3671	29407
111	3702	29353
112	3733	29309
113	3765	29268
114	3798	29230
115	3830	29191
116	3863	29155
117	3896	29123
118	3929	29090
119	3964	29075
120	3998	29045
121	4029	28999
122	4064	28978
123	4097	28947
124	4129	28904
125	4161	28866
126	4192	28817
127	4223	28769
128	4256	28736
129	4290	28715
130	4326	28701
131	4355	28643
132	4391	28626
133	4422	28583
134	4457	28558
135	4491	28534
136	4528	28523
137	4559	28482
138	4596	28469
139	4626	28422
140	4657	28377
141	4689	28337
142	4725	28320
143	4755	28267
144	4787	28230
145	4825	28223
146	4881	28324
147	4924	28350
148	4959	28326
149	4995	28308
150	5025	28255
151	5057	28213
152	5089	28174
153	5123	28147
154	5176	28220
155	5212	28199
156	5243	28153
157	5277	28123
158	5311	28093
159	5345	28066
160	5384	28057
161	5422	28047
162	5455	28013
163	5489	27980
164	5523	27949
165	5556	27916
166	5588	27876
167	5618	27825
168	5646	27765
169	5678	27723
170	5711	27688
171	5742	27645
172	5777	27618
173	5811	27588
174	5848	27572
175	5882	27540
176	5911	27488
177	5943	27447
178	5977	27416
179	6013	27395
180	6050	27377
181	6087	27362
182	6124	27344
183	6158	27312
184	6191	27276
185	6223	27235
186	6256	27200
187	6289	27164
188	6317	27109
189	6352	27082
190	6384	27044
191	6415	26998
192	6440	26929
193	6472	26891
194	6508	26867
195	6540	26827
196	6572	26790
197	6604	26750
198	6637	26715
199	6669	26677
200	6704	26650
201	6743	26638
202	6776	26605
203	6809	26570
204	6839	26525
205	6874	26497
206	6925	26531
207	6960	26501
208	7002	26501
209	7041	26488
210	7082	26484
211	7119	26461
212	7154	26435
