iter	Passed	Remaining
0	1	4668
1	2	3929
2	3	3730
3	4	3631
4	5	3546
5	6	3426
6	7	3304
7	8	3252
8	9	3236
9	10	3276
10	12	3284
11	12	3166
12	13	3148
13	14	3144
14	15	3123
15	16	3138
16	17	3143
17	18	3123
18	19	3103
19	20	3095
20	21	3066
21	22	3058
22	23	3083
23	24	3075
24	25	3059
25	26	3047
26	27	3031
27	28	3018
28	29	3036
29	30	3023
30	31	3011
31	32	3004
32	33	2993
33	34	2987
34	35	2973
35	36	2981
36	37	2982
37	38	2979
38	39	2972
39	40	2966
40	41	2961
41	42	2966
42	43	2971
43	44	2964
44	45	2961
45	45	2924
46	46	2917
47	47	2913
48	48	2908
49	49	2913
50	50	2912
51	51	2909
52	52	2909
53	53	2908
54	54	2900
55	55	2899
56	56	2906
57	57	2903
58	58	2896
59	59	2891
60	59	2886
61	60	2882
62	61	2888
63	62	2885
64	63	2880
65	64	2879
66	65	2874
67	66	2869
68	67	2868
69	68	2871
70	69	2871
71	70	2870
72	71	2867
73	72	2865
74	73	2858
75	74	2857
76	75	2862
77	76	2860
78	77	2858
79	78	2854
80	79	2857
81	80	2864
82	81	2868
83	82	2871
84	83	2866
85	84	2859
86	85	2857
87	86	2856
88	87	2854
89	88	2846
90	88	2844
91	90	2845
92	90	2841
93	91	2839
94	92	2833
95	93	2830
96	95	2844
97	95	2842
98	96	2838
99	97	2833
100	98	2829
101	99	2828
102	100	2831
103	101	2836
104	102	2833
105	103	2831
106	104	2829
107	105	2826
108	106	2823
109	107	2827
110	108	2826
111	109	2826
112	110	2823
113	111	2822
114	112	2823
115	113	2827
116	114	2830
117	115	2830
118	116	2826
119	117	2822
120	118	2819
121	119	2815
122	120	2818
123	121	2816
124	122	2812
125	123	2810
126	124	2808
127	124	2803
128	125	2800
129	126	2803
130	127	2801
131	128	2799
132	129	2797
133	130	2794
134	131	2792
135	132	2790
136	133	2791
137	134	2793
138	135	2790
139	136	2787
140	137	2786
141	138	2783
142	139	2782
143	140	2784
144	141	2782
145	142	2780
146	142	2772
147	143	2767
148	144	2763
149	145	2761
150	146	2763
151	147	2762
152	148	2759
153	149	2757
154	150	2753
155	150	2751
156	151	2749
157	152	2751
158	154	2752
159	154	2750
160	155	2746
161	156	2746
162	157	2745
163	158	2743
164	159	2743
165	160	2741
166	161	2739
167	162	2736
168	163	2733
169	164	2731
170	165	2731
171	166	2732
172	167	2729
173	167	2726
174	168	2724
175	169	2722
176	170	2720
177	171	2718
178	172	2719
179	173	2718
180	174	2716
181	175	2714
182	176	2712
183	177	2710
184	177	2707
185	179	2708
186	179	2705
187	180	2703
188	181	2702
189	182	2700
190	183	2698
191	184	2695
192	185	2694
193	186	2692
194	187	2691
195	187	2688
196	188	2685
197	189	2682
198	190	2679
199	191	2676
200	192	2676
201	193	2676
202	194	2673
203	194	2670
204	195	2666
205	196	2667
206	197	2665
207	198	2664
208	199	2661
209	200	2661
210	201	2660
211	202	2657
212	202	2655
213	203	2652
214	204	2652
215	205	2650
216	206	2648
217	207	2646
218	208	2644
219	209	2642
220	209	2640
221	211	2643
222	212	2642
223	213	2639
224	213	2638
225	214	2636
226	215	2635
227	216	2633
228	217	2634
229	218	2632
230	219	2629
231	220	2627
232	221	2626
233	222	2625
234	222	2622
235	223	2621
236	224	2621
237	225	2620
238	226	2617
239	227	2615
240	228	2614
241	229	2614
242	230	2611
243	231	2610
244	232	2611
245	233	2609
246	233	2607
247	234	2605
248	235	2604
249	236	2602
250	237	2602
251	238	2601
252	239	2598
253	240	2596
254	241	2594
255	241	2592
256	242	2591
257	243	2592
258	244	2591
259	245	2590
260	246	2589
261	247	2586
262	248	2584
263	249	2581
264	250	2580
265	250	2579
266	251	2577
267	252	2575
268	253	2573
269	254	2570
270	255	2569
271	256	2568
272	257	2569
273	258	2568
274	259	2566
275	259	2565
276	260	2563
277	261	2561
278	262	2559
279	263	2559
280	264	2558
281	265	2557
282	266	2555
283	267	2554
284	267	2552
285	268	2551
286	270	2553
287	271	2552
288	272	2552
289	273	2551
290	273	2549
291	274	2548
292	275	2547
293	276	2547
294	277	2546
295	278	2545
296	279	2544
297	280	2543
298	281	2541
299	282	2540
300	283	2540
301	284	2540
302	285	2539
303	286	2539
304	287	2537
305	287	2535
306	288	2534
307	290	2534
308	290	2533
309	291	2532
310	292	2530
311	293	2529
312	294	2528
313	295	2527
314	296	2528
315	297	2526
316	298	2525
317	299	2524
318	300	2521
319	300	2519
320	301	2517
321	302	2518
322	303	2517
323	304	2516
324	305	2515
325	306	2514
326	307	2512
327	308	2511
328	309	2512
329	310	2510
330	311	2509
331	312	2508
332	312	2505
333	313	2506
334	315	2506
335	316	2506
336	317	2506
337	318	2505
338	318	2503
339	319	2502
340	320	2501
341	321	2501
342	322	2500
343	323	2498
344	324	2496
345	325	2494
346	326	2493
347	327	2492
348	328	2492
349	329	2492
350	330	2492
351	331	2490
352	331	2489
353	332	2487
354	333	2485
355	334	2485
356	335	2484
357	336	2483
358	337	2481
359	338	2480
360	339	2478
361	340	2478
362	340	2477
363	341	2476
364	342	2474
365	343	2472
366	344	2471
367	345	2469
368	346	2467
369	346	2465
370	347	2464
371	348	2462
372	349	2460
373	350	2458
374	350	2456
375	351	2455
376	352	2453
377	353	2451
378	354	2450
379	355	2448
380	356	2447
381	356	2445
382	358	2446
383	359	2446
384	359	2444
385	361	2445
386	362	2446
387	363	2445
388	364	2444
389	365	2443
390	365	2441
391	366	2441
392	367	2440
393	368	2438
394	369	2437
395	370	2435
396	371	2433
397	371	2431
398	372	2430
399	373	2428
400	374	2428
401	375	2427
402	376	2425
403	377	2423
404	377	2421
405	378	2420
406	379	2420
407	380	2419
408	381	2419
409	382	2417
410	383	2416
411	384	2415
412	385	2413
413	386	2413
414	387	2411
415	388	2411
416	389	2410
417	389	2408
418	390	2407
419	391	2406
420	392	2404
421	393	2403
422	394	2403
423	395	2402
424	396	2401
425	397	2399
426	398	2398
427	398	2396
428	399	2395
429	400	2395
430	401	2394
431	402	2392
432	403	2391
433	404	2389
434	405	2388
435	405	2387
436	406	2386
437	407	2386
438	408	2384
439	409	2383
440	410	2381
441	411	2380
442	412	2379
443	413	2378
444	414	2377
445	414	2376
446	415	2374
447	416	2372
448	417	2371
449	418	2369
450	418	2367
451	419	2367
452	420	2366
453	421	2364
454	422	2362
455	423	2360
456	424	2360
457	425	2359
458	425	2357
459	426	2356
460	427	2354
461	428	2353
462	429	2352
463	430	2350
464	430	2348
465	431	2346
466	432	2345
467	433	2344
468	434	2343
469	435	2342
470	435	2341
471	436	2339
472	437	2338
473	438	2336
474	439	2335
475	440	2335
476	441	2333
477	442	2332
478	443	2331
479	443	2330
480	444	2328
481	445	2327
482	446	2326
483	447	2325
484	448	2324
485	449	2323
486	450	2322
487	450	2320
488	451	2319
