iter	Accuracy	MultiClass
0	0.8216326531	1.380892057
1	0.8155102041	1.229436393
2	0.8163265306	1.115838052
3	0.8167346939	1.021421182
4	0.8179591837	0.9509534288
5	0.8179591837	0.8938848346
6	0.8179591837	0.845379948
7	0.832244898	0.7940904558
8	0.832244898	0.7483409557
9	0.832244898	0.7080402021
10	0.8330612245	0.6765506846
11	0.833877551	0.6482355848
12	0.8334693878	0.6207954626
13	0.8334693878	0.6010085485
14	0.8334693878	0.5804398306
15	0.8334693878	0.55966341
16	0.8334693878	0.5415800092
17	0.8379591837	0.523675867
18	0.8416326531	0.508753175
19	0.8444897959	0.4943080542
20	0.8465306122	0.4845062479
21	0.8485714286	0.4726690127
22	0.8510204082	0.4633100841
23	0.853877551	0.452299986
24	0.8559183673	0.4408931872
25	0.8563265306	0.4339581411
26	0.8559183673	0.4265259998
27	0.8571428571	0.4205419725
28	0.8579591837	0.4144624244
29	0.8575510204	0.4071935566
30	0.8591836735	0.4022069675
31	0.86	0.3971855083
32	0.8587755102	0.3928276673
33	0.8587755102	0.3882700945
34	0.8608163265	0.3817130226
35	0.8636734694	0.3786048344
36	0.8632653061	0.3744937355
37	0.8648979592	0.3713665092
38	0.8665306122	0.3661863669
39	0.8685714286	0.3618351231
40	0.8685714286	0.3579280287
41	0.8706122449	0.3547690464
42	0.8710204082	0.3509699372
43	0.8714285714	0.3483451079
44	0.8718367347	0.3443507994
45	0.8730612245	0.3423301851
46	0.8726530612	0.3408416939
47	0.8726530612	0.339905542
48	0.8746938776	0.3370028053
49	0.8751020408	0.3347571919
50	0.8767346939	0.3322067451
51	0.8783673469	0.3293404162
52	0.8787755102	0.3274199318
53	0.8804081633	0.3261128632
54	0.88	0.3239858746
55	0.88	0.3229435334
56	0.8804081633	0.3210715174
57	0.8804081633	0.3190440557
58	0.8816326531	0.3162312209
59	0.8824489796	0.3138022138
60	0.8832653061	0.3122415602
61	0.8836734694	0.3111219777
62	0.8840816327	0.30949323
63	0.8848979592	0.3078304335
64	0.8844897959	0.3058452807
65	0.8848979592	0.3049870175
66	0.8844897959	0.3041375093
67	0.8853061224	0.302889091
68	0.886122449	0.3007534899
69	0.8869387755	0.2991664984
70	0.886122449	0.2977735911
71	0.8857142857	0.2957217607
72	0.8869387755	0.2942050716
73	0.8881632653	0.2925746064
74	0.887755102	0.2916308242
75	0.887755102	0.2903966286
76	0.8889795918	0.2891956248
77	0.8893877551	0.287855608
78	0.8902040816	0.2864806978
79	0.8906122449	0.2853722933
80	0.892244898	0.2834541201
