iter	Passed	Remaining
0	26	13118
1	57	14385
2	84	13966
3	109	13635
4	136	13539
5	162	13420
6	180	12695
7	211	13018
8	241	13150
9	270	13236
10	298	13286
11	326	13294
12	357	13379
13	385	13365
14	411	13309
15	438	13256
16	464	13188
17	490	13138
18	517	13103
19	544	13066
20	572	13047
21	602	13092
22	631	13092
23	658	13053
24	697	13254
25	732	13362
26	764	13400
27	793	13382
28	819	13316
29	853	13366
30	883	13366
31	912	13344
32	937	13267
33	972	13330
34	1000	13295
35	1033	13318
36	1062	13296
37	1088	13228
38	1119	13236
39	1147	13194
40	1171	13113
41	1211	13205
42	1241	13190
43	1275	13217
44	1300	13153
45	1332	13155
46	1364	13149
47	1388	13079
48	1421	13081
49	1451	13060
50	1479	13025
51	1504	12964
52	1538	12971
53	1566	12940
54	1599	12939
55	1630	12927
56	1658	12889
57	1689	12873
58	1725	12894
59	1752	12854
60	1785	12850
61	1816	12833
62	1847	12815
63	1877	12787
64	1906	12758
65	1934	12724
66	1964	12697
67	1990	12642
68	2020	12622
69	2047	12579
70	2076	12545
71	2106	12523
72	2138	12506
73	2171	12501
74	2203	12488
75	2233	12461
76	2262	12426
77	2287	12375
78	2314	12335
79	2356	12371
80	2386	12346
81	2413	12304
82	2446	12293
83	2477	12270
84	2503	12223
85	2538	12219
86	2565	12177
87	2601	12178
88	2635	12170
89	2667	12152
90	2697	12123
91	2729	12103
92	2760	12082
93	2790	12050
94	2816	12005
95	2854	12014
96	2887	11998
97	2920	11980
98	2951	11953
99	2981	11927
100	3010	11891
101	3038	11855
102	3074	11849
103	3100	11804
104	3129	11771
105	3167	11773
106	3198	11747
107	3232	11734
108	3261	11699
109	3288	11658
110	3327	11662
111	3358	11633
112	3388	11604
113	3419	11577
114	3450	11550
115	3478	11514
116	3508	11486
117	3543	11471
118	3576	11451
119	3611	11435
120	3659	11463
121	3692	11441
122	3725	11419
123	3766	11420
124	3796	11389
125	3824	11353
126	3854	11319
127	3883	11287
128	3915	11259
129	3944	11225
130	3981	11214
131	4012	11185
132	4044	11160
133	4075	11130
134	4103	11095
