iter	Passed	Remaining
0	17	17854
1	35	17718
2	51	17086
3	65	16295
4	78	15565
5	85	14242
6	98	13984
7	111	13799
8	123	13548
9	135	13418
10	150	13515
11	165	13655
12	181	13759
13	195	13754
14	208	13665
15	221	13632
16	235	13610
17	250	13657
18	264	13633
19	277	13609
20	289	13493
21	300	13350
22	312	13270
23	324	13192
24	331	12946
25	339	12702
26	350	12626
27	364	12654
28	378	12669
29	393	12732
30	408	12773
31	422	12773
32	436	12785
33	448	12745
34	461	12722
35	473	12673
36	484	12623
37	498	12613
38	512	12630
39	525	12618
40	538	12603
41	543	12386
42	555	12358
43	567	12339
44	581	12340
45	599	12430
46	613	12443
47	621	12329
48	628	12199
49	643	12227
50	659	12275
51	677	12345
52	693	12390
53	707	12395
54	721	12393
55	733	12372
56	746	12349
57	759	12336
58	772	12325
59	785	12313
60	798	12288
61	811	12271
62	824	12257
63	840	12287
64	854	12288
65	870	12312
66	883	12297
67	896	12290
68	909	12276
69	922	12259
70	935	12237
71	947	12214
72	961	12205
73	973	12185
74	986	12166
75	999	12154
76	1012	12133
77	1027	12151
78	1042	12149
79	1055	12139
80	1068	12127
81	1082	12117
82	1097	12120
83	1112	12128
84	1126	12121
85	1140	12118
86	1154	12118
87	1168	12114
88	1182	12100
89	1194	12079
90	1207	12063
91	1219	12039
92	1232	12019
93	1246	12018
94	1271	12115
95	1291	12166
96	1309	12192
97	1323	12178
98	1335	12158
99	1347	12129
100	1359	12097
101	1371	12071
102	1383	12046
103	1395	12025
104	1409	12010
105	1422	11997
106	1435	11979
107	1448	11965
108	1461	11945
109	1474	11931
110	1488	11918
111	1502	11914
112	1517	11911
113	1532	11910
114	1546	11901
115	1558	11880
116	1572	11869
117	1600	11960
118	1614	11952
119	1628	11942
120	1644	11943
121	1657	11927
122	1669	11906
123	1684	11898
124	1699	11897
125	1713	11887
126	1729	11885
127	1742	11868
128	1755	11851
129	1768	11836
130	1781	11816
131	1793	11792
132	1806	11774
133	1821	11769
134	1833	11746
135	1845	11725
136	1857	11698
137	1868	11668
138	1879	11640
139	1890	11615
140	1903	11596
141	1916	11579
142	1930	11569
143	1944	11557
144	1957	11543
145	1970	11525
146	1983	11508
147	1996	11490
148	2008	11472
149	2021	11455
150	2035	11443
151	2047	11422
152	2060	11409
153	2073	11391
154	2086	11374
155	2099	11356
156	2113	11347
157	2127	11337
158	2141	11328
159	2155	11318
160	2169	11304
161	2181	11284
162	2193	11262
163	2205	11241
164	2218	11225
165	2230	11205
166	2243	11190
167	2256	11175
168	2270	11165
169	2283	11147
170	2295	11129
171	2308	11111
172	2322	11101
173	2336	11091
174	2351	11084
175	2365	11074
176	2379	11062
177	2391	11045
178	2404	11029
179	2416	11009
180	2429	10991
181	2441	10974
182	2454	10959
183	2467	10943
184	2480	10925
185	2492	10906
186	2504	10889
187	2518	10877
188	2532	10867
189	2547	10862
190	2560	10846
191	2575	10837
192	2590	10832
193	2605	10824
194	2620	10816
195	2635	10811
196	2650	10804
197	2667	10803
198	2683	10799
199	2698	10794
200	2713	10786
201	2728	10778
202	2744	10774
203	2760	10771
204	2775	10761
205	2789	10752
206	2803	10741
207	2818	10732
208	2832	10720
209	2846	10709
210	2861	10701
211	2875	10689
212	2892	10685
213	2907	10680
214	2922	10669
215	2935	10655
216	2953	10657
217	2968	10649
218	2983	10638
219	2998	10630
220	3013	10622
221	3028	10613
222	3043	10605
223	3058	10596
224	3074	10591
225	3089	10580
226	3103	10566
227	3117	10555
228	3130	10540
229	3145	10531
230	3161	10523
231	3178	10523
232	3192	10510
233	3208	10504
234	3223	10494
235	3239	10486
236	3254	10477
237	3271	10474
238	3288	10469
239	3304	10462
240	3320	10457
241	3337	10454
242	3353	10448
243	3369	10438
244	3384	10431
245	3400	10423
246	3416	10414
247	3432	10407
248	3447	10397
249	3470	10410
250	3490	10417
251	3512	10425
252	3534	10434
253	3548	10422
254	3563	10409
255	3577	10397
256	3591	10384
257	3606	10373
258	3621	10361
259	3637	10352
260	3652	10343
261	3668	10334
262	3684	10325
263	3699	10314
264	3714	10301
265	3728	10289
266	3745	10282
267	3762	10276
268	3775	10261
269	3789	10246
270	3805	10235
271	3818	10221
272	3833	10208
273	3849	10200
274	3865	10190
275	3881	10182
276	3896	10170
277	3911	10159
278	3925	10145
279	3940	10132
280	3957	10126
281	3974	10118
282	3990	10109
283	4005	10099
284	4022	10090
285	4038	10081
286	4056	10077
287	4070	10063
288	4085	10050
289	4100	10037
290	4115	10028
291	4132	10019
292	4148	10011
293	4166	10005
294	4182	9996
295	4198	9986
296	4214	9975
297	4229	9962
298	4243	9948
299	4259	9939
300	4274	9927
301	4288	9911
302	4301	9896
303	4317	9885
304	4333	9873
305	4348	9861
306	4365	9854
307	4385	9853
308	4400	9839
309	4416	9829
310	4432	9820
311	4448	9810
312	4465	9800
313	4480	9788
314	4495	9776
315	4512	9768
316	4528	9756
317	4541	9739
318	4555	9724
319	4569	9711
320	4583	9696
321	4598	9681
322	4612	9667
323	4627	9654
324	4643	9643
325	4659	9632
326	4674	9620
327	4689	9608
328	4704	9594
329	4719	9582
330	4734	9569
331	4749	9555
332	4766	9547
333	4782	9537
334	4797	9523
335	4816	9517
336	4830	9503
337	4844	9488
338	4860	9476
339	4879	9472
340	4897	9464
341	4921	9468
342	4946	9474
343	4961	9462
344	4974	9443
345	4987	9427
346	5000	9409
347	5012	9391
348	5025	9373
349	5037	9355
350	5050	9338
351	5063	9321
352	5075	9303
353	5088	9284
354	5100	9266
355	5111	9246
356	5123	9227
357	5135	9209
358	5148	9192
359	5161	9176
360	5173	9157
361	5186	9140
362	5199	9123
363	5211	9105
364	5223	9086
365	5234	9068
366	5246	9049
367	5258	9030
368	5269	9011
369	5282	8994
370	5294	8975
371	5304	8954
372	5315	8935
373	5326	8915
374	5337	8896
375	5350	8879
376	5362	8861
377	5376	8846
378	5387	8826
379	5399	8809
380	5411	8791
381	5423	8774
382	5435	8756
383	5448	8739
384	5460	8723
385	5472	8704
386	5483	8686
387	5496	8670
388	5508	8652
389	5519	8632
390	5531	8615
391	5543	8598
392	5555	8580
393	5567	8563
394	5579	8546
395	5592	8530
396	5604	8512
397	5617	8496
398	5629	8479
399	5641	8462
400	5653	8444
401	5665	8427
402	5677	8409
403	5689	8392
404	5700	8375
405	5712	8358
406	5724	8341
407	5735	8322
408	5747	8304
409	5759	8287
410	5769	8268
411	5781	8251
412	5792	8232
413	5803	8214
414	5815	8197
415	5827	8180
416	5840	8165
417	5853	8150
418	5865	8133
419	5878	8117
420	5890	8101
421	5902	8084
422	5915	8069
423	5928	8053
424	5941	8037
425	5954	8023
426	5967	8007
427	5978	7990
428	5991	7974
429	6003	7958
430	6015	7942
431	6028	7926
432	6040	7909
433	6053	7894
434	6064	7876
435	6075	7859
436	6086	7841
437	6099	7826
438	6112	7810
439	6125	7796
440	6138	7780
441	6150	7764
442	6163	7750
443	6176	7734
444	6189	7719
445	6200	7702
446	6212	7685
447	6225	7670
448	6237	7654
449	6249	7638
450	6263	7624
451	6279	7613
452	6292	7598
453	6305	7583
454	6317	7567
455	6330	7552
456	6343	7536
457	6356	7521
458	6368	7506
459	6380	7489
460	6392	7473
461	6403	7457
462	6415	7440
463	6424	7421
464	6436	7405
465	6449	7390
466	6461	7375
467	6473	7359
468	6486	7344
469	6499	7329
470	6512	7314
471	6524	7298
472	6536	7282
473	6549	7267
474	6562	7253
475	6575	7238
476	6587	7223
477	6600	7208
478	6612	7192
479	6624	7176
480	6637	7161
481	6650	7146
482	6662	7131
483	6675	7116
484	6686	7100
485	6698	7084
486	6711	7069
487	6724	7055
488	6738	7041
489	6750	7026
490	6762	7010
491	6773	6994
492	6785	6978
493	6797	6962
494	6809	6946
495	6821	6931
496	6834	6916
497	6847	6902
498	6859	6886
499	6872	6872
500	6886	6858
501	6897	6842
502	6909	6826
503	6920	6810
504	6931	6794
505	6944	6779
506	6957	6765
507	6969	6750
508	6982	6735
509	6994	6720
510	7006	6704
511	7016	6688
512	7028	6672
513	7040	6656
514	7052	6641
515	7064	6626
516	7076	6611
517	7088	6595
518	7100	6580
519	7113	6566
520	7126	6552
521	7139	6537
522	7151	6522
523	7164	6508
524	7177	6493
525	7189	6479
526	7202	6464
527	7215	6450
528	7228	6435
529	7240	6421
530	7253	6406
531	7265	6391
532	7278	6377
533	7291	6363
534	7303	6348
535	7316	6333
536	7329	6319
537	7341	6304
538	7354	6289
539	7366	6275
540	7379	6261
541	7393	6247
542	7407	6234
543	7419	6219
544	7433	6205
545	7446	6191
546	7459	6177
547	7471	6162
548	7484	6148
549	7496	6133
550	7509	6119
551	7520	6103
552	7532	6088
553	7544	6073
554	7557	6059
555	7568	6044
556	7582	6030
557	7594	6016
558	7607	6001
559	7620	5987
560	7633	5973
561	7647	5959
562	7659	5945
563	7672	5931
564	7684	5916
565	7697	5902
566	7711	5888
567	7724	5875
568	7737	5861
569	7750	5846
570	7762	5832
571	7774	5817
